Gmt time,Open,High,Low,Close,Volume
15.01.2022 19:00:00.000,43289,43507,43280,43489,57578.9995
15.01.2022 20:00:00.000,43489,43756,43435,43452,64572.9974
15.01.2022 21:00:00.000,43452,43474,43136,43274,48953.0005
15.01.2022 22:00:00.000,43274,43352,43094,43199,43395.9998
15.01.2022 23:00:00.000,43199,43331,43029,43035,49911.9982
16.01.2022 00:00:00.000,43035,43063,42962,43030,45522.0006
16.01.2022 01:00:00.000,43030,43109,42952,42973,34409.0015
16.01.2022 02:00:00.000,42973,43043,42814,42885,37843.0001
16.01.2022 03:00:00.000,42879,43008,42836,42949,38245.9983
16.01.2022 04:00:00.000,42947,43033,42843,42995,34582.9986
16.01.2022 05:00:00.000,42995,43082,42945,42945,26251.9997
16.01.2022 06:00:00.000,42939,43172,42907,43164,33672.9996
16.01.2022 07:00:00.000,43164,43221,43097,43179,28046.0007
16.01.2022 08:00:00.000,43179,43268,43038,43048,42350.0016
16.01.2022 09:00:00.000,43048,43091,42999,43041,32809.9988
16.01.2022 10:00:00.000,43041,43150,42870,42877,41855.9983
16.01.2022 11:00:00.000,42877,43065,42752,42941,49986.0011
16.01.2022 12:00:00.000,42939,43099,42939,42983,41809.0001
16.01.2022 13:00:00.000,42982,43130,42560,43103,70018.9993
16.01.2022 14:00:00.000,43102,43386,43020,43268,54276.9991
16.01.2022 15:00:00.000,43268,43315,43111,43183,66495.9997
16.01.2022 16:00:00.000,43183,43423,43151,43359,68228.9973
16.01.2022 17:00:00.000,43350,43389,43015,43032,45765.9997
16.01.2022 18:00:00.000,43032,43089,42941,43022,43692.9986
16.01.2022 19:00:00.000,43022,43033,42777,42785,41108.9994
16.01.2022 20:00:00.000,42787,43065,42718,42991,46820.9982
16.01.2022 21:00:00.000,42991,43049,42871,42916,41030.0009
16.01.2022 22:00:00.000,42926,43195,42923,43165,20263.9997
16.01.2022 23:00:00.000,43165,43234,43022,43031,53075.999
17.01.2022 00:00:00.000,43031,43141,42838,42843,50021.9986
17.01.2022 01:00:00.000,42850,42902,42768,42852,47159.9996
17.01.2022 02:00:00.000,42852,42900,42752,42876,44149.0002
17.01.2022 03:00:00.000,42884,42942,42587,42599,52487.9992
17.01.2022 04:00:00.000,42599,42756,42566,42571,54007.0012
17.01.2022 05:00:00.000,42570,42646,42312,42611,56044.9995
17.01.2022 06:00:00.000,42613,42823,42611,42710,54244.9988
17.01.2022 07:00:00.000,42709,42916,42610,42615,49467.9995
17.01.2022 08:00:00.000,42613,42890,42532,42757,59312.9992
17.01.2022 09:00:00.000,42759,42856,42703,42815,47267.9995
17.01.2022 10:00:00.000,42813,42849,42592,42745,49274.9996
17.01.2022 11:00:00.000,42747,42869,42614,42629,45602.9996
17.01.2022 12:00:00.000,42629,42814,42402,42616,58713.0003
17.01.2022 13:00:00.000,42616,42713,42463,42607,47853.9988
17.01.2022 14:00:00.000,42607,42718,42530,42622,51254.0005
17.01.2022 15:00:00.000,42619,42634,42362,42426,60644.0008
17.01.2022 16:00:00.000,42425,42481,42112,42188,86611.0027
17.01.2022 17:00:00.000,42187,42202,41940,42063,80857.9996
17.01.2022 18:00:00.000,42063,42241,41842,42232,18228.4005
17.01.2022 19:00:00.000,42232,42339,42098,42264,13246.2997
17.01.2022 20:00:00.000,42264,42311,41982,42055,30665.3809
17.01.2022 21:00:00.000,42055,42181,41565,41675,40422.7003
17.01.2022 22:00:00.000,41652,42326,41506,42043,54460.0002
17.01.2022 23:00:00.000,42043,42216,42014,42166,62479.9989
18.01.2022 00:00:00.000,42165,42362,42099,42324,65150.0002
18.01.2022 01:00:00.000,42321,42387,42144,42227,55334.0018
18.01.2022 02:00:00.000,42228,42265,42117,42233,47669.9993
18.01.2022 03:00:00.000,42231,42257,41948,42002,51391.0018
18.01.2022 04:00:00.000,41998,42055,41867,42004,55252.0007
18.01.2022 05:00:00.000,42004,42142,41958,42078,46342.0004
18.01.2022 06:00:00.000,42078,42286,42076,42199,45047.0001
18.01.2022 07:00:00.000,42202,42224,41916,42010,49175.0017
18.01.2022 08:00:00.000,42009,42010,41605,41662,69075.0033
18.01.2022 09:00:00.000,41662,42032,41442,41939,63101.7014
18.01.2022 10:00:00.000,41939,42096,41805,41997,45641.0013
18.01.2022 11:00:00.000,41997,41997,41676,41838,42041.3986
18.01.2022 12:00:00.000,41838,41901,41631,41854,41403.6997
